Start Time,End Time,Sentence,Translation,Emotion
"00:00:00,000","00:00:01,000",عشان تعرف إن أنا أتنازل عند أشياء عادي,Because you know I'm condescending to normal things.,anger
"00:00:01,000","00:00:03,000",هذا الموضوع حمشي أسوي نفسي بأسمي,That's why I'm so psyched. I'm putting myself in my name.,anger
"00:00:03,000","00:00:05,000",ليه ما تسمع وترد عليك زي ما تتكلمت,Why don't you hear what she's saying to you like what she's talking about?,anger
"00:00:05,000","00:00:07,000",لأنه كلام متخابط ومتلخبط,'Cause he's a mess and a mess.,neutral
"00:00:07,000","00:00:08,000",مين اللي متلخبط؟,Who's messed up?,neutral
"00:00:08,000","00:00:09,000",إنتي دحين السينما حطيح بدونك؟,You're indulging in the movies without you?,neutral
"00:00:09,000","00:00:11,000",أيوة حطيح بدوني,Aah! Aah! Aah!,neutral
"00:00:11,000","00:00:13,000",ده The Blind Date Show,That's the Blind Date Show.,neutral
"00:00:13,000","00:00:14,000",ودول اتنين ما يعرفوش بعض,And countries that don't know each other.,neutral
"00:00:22,000","00:00:24,000",كل واحد فيهم مش شايف التاني,Every single one of them isn't the next one.,neutral
"00:00:24,000","00:00:25,000",وبينهم الحيطة دي,"And there's a precaution in them, D.",neutral
"00:00:25,000","00:00:28,000",البلاين ديت بتاعنا عبارة عن 3 راونز,Blaine Ditt. Ours is 3 Rawns.,neutral
"00:00:28,000","00:00:31,000",كل راونز بينزل لهم موضوع لازم يتكلموا فيه,All the Ransom Penzels have a subject to talk about.,neutral
"00:00:31,000","00:00:32,000",المواضيع دي علاقة بالجواز,The subjects have to do with the passport.,neutral
"00:00:32,000","00:00:33,000",لبس,Clothes.,neutral
"00:00:33,000","00:00:34,000",فلوس,Folks.,neutral
"00:00:34,000","00:00:34,000",شغل,Play.,neutral
"00:00:34,000","00:00:36,000",وحاجات تانية كتير,And many more needs.,neutral
"00:00:36,000","00:00:37,000",بعد كل راونز,After all the Rawns.,neutral
"00:00:37,000","00:00:38,000",كل واحد بيدي التاني ريتينج,Everybody's in my second hand.,neutral
"00:00:38,000","00:00:41,000",على حسب هم شبه بعض قد إيه في الراونز دي,"Based on what they're like, they might have done in the Rhinos D.",anger
"00:00:41,000","00:00:42,000",وفي الآخر قبل ما كل واحد يعرف,"And on the other hand, before everyone knows...",neutral
"00:00:42,000","00:00:44,000",كان قاعد في ديت مع مين,He was in the Dit with Min.,neutral
"00:00:44,000","00:00:46,000",هيقرروا لو هينزلوا ديت تاني ولا لا,They decide if Henslow Dit Tani or not.,neutral
"00:00:58,000","00:00:59,000",شكراً,Thank you.,neutral
"00:01:13,000","00:01:13,000",هاي,Hey.,neutral
"00:01:13,000","00:01:14,000",أهلاً,Hey.,neutral
"00:01:15,000","00:01:16,000",كيف حالك؟,How are you?,neutral
"00:01:16,000","00:01:17,000",أوه,Oh.,neutral
"00:01:18,000","00:01:20,000",الحمد لله والله أنت عاملين,Thank God you're working.,neutral
"00:01:20,000","00:01:21,000",الحمد لله,Thank God.,neutral
"00:01:21,000","00:01:23,000",حسيت بالـ أوه هذي هتيجي من أول,"I felt the... Oh, that's my first cheerleader.",neutral
"00:01:23,000","00:01:24,000",عشان كده ساكت,Because that's why I'm so quiet.,neutral
"00:01:24,000","00:01:25,000",أنت سعودي؟,You Saudi?,neutral
"00:01:25,000","00:01:25,000",لا,No.,neutral
"00:01:25,000","00:01:27,000",أنا المفروض سعيدي بس عايش في سعودية من زمان,I'm supposed to be happy living in Saudi Arabia from ancient times.,anger
"00:01:28,000","00:01:28,000",سعيدي؟,Happy?,neutral
"00:01:28,000","00:01:29,000",من لقصر,From the palace.,neutral
"00:01:30,000","00:01:30,000",حل,A solution.,neutral
"00:01:31,000","00:01:32,000",لا بمزع طبعاً,Absolutely not.,neutral
"00:01:33,000","00:01:34,000",سعودي سعودي,Saudi Arabia,neutral
"00:01:34,000","00:01:35,000",تعرفي جيت سعودية قبل كده؟,You know a Saudi jet before that?,neutral
"00:01:35,000","00:01:36,000",أوه جيت,"Oh, Jet.",neutral
"00:01:36,000","00:01:37,000",فين رحت؟,Where did you leave?,neutral
"00:01:37,000","00:01:39,000",رحت مكة ورحت المدينة,"I've gone, Mack. I've gone, I've gone, I've gone, I've gone, I've gone, I've gone, I've gone, I've gone, I've gone.",anger
"00:01:39,000","00:01:40,000",ما رحت جدة؟,What's grandma got?,neutral
"00:01:40,000","00:01:40,000",لا ما رحتش قبل,"No, I've never been gone before.",neutral
"00:01:40,000","00:01:42,000",كيف جيتي مكة بدون ما تروحي جدة؟,How come you're macca without grandma's comfort?,neutral
"00:01:42,000","00:01:43,000",ما كنت بعمل عمره,I wasn't working on his life.,neutral
"00:01:43,000","00:01:46,000",طيب جيتي على جدة بعدين رحت مكة بالسيارة,"Okay, Gettys, on a grandma's way back, I'm in the car.",anger
"00:01:46,000","00:01:47,000",لا ما جيتش,"No, what's Jitch?",neutral
"00:01:47,000","00:01:49,000",المطار اللي نزلك على جدة,The airport that came down on Grandma...,neutral
"00:01:49,000","00:01:50,000",هيوديكي بعدين,Houdiki later.,neutral
"00:01:50,000","00:01:51,000",انت مريت بجدة كلها,You've been through all of it.,neutral
"00:01:51,000","00:01:52,000",بعدين وصلت مكة,Then there's Makkah.,neutral
"00:01:52,000","00:01:53,000",ما نمكنش عارف بقى,We can't. I know what's left.,neutral
"00:01:53,000","00:01:54,000",ما في مطار في مكة,What's at an airport in Mecca?,neutral
"00:01:54,000","00:01:55,000",أوكي,Okay.,neutral
"00:01:55,000","00:01:56,000",انت ايش اللي نزلك؟,What are you doing down there?,neutral
"00:01:56,000","00:01:58,000",تقريباً دي قهوة عربي,Almost got an Arab latte.,neutral
"00:01:58,000","00:02:00,000",اللي هي اسمها قهوة خضرة تقريباً,What's her name? Almost green coffee.,neutral
"00:02:00,000","00:02:00,000",ولا ده ايه؟,Either?,neutral
"00:02:00,000","00:02:01,000",قهوة خضرة؟,Green coffee?,neutral
"00:02:01,000","00:02:02,000",اشوف كده؟,See that?,neutral
"00:02:02,000","00:02:04,000",اللي هي تقريباً بتتاخد مع بلح,What she's almost taking with a salt.,neutral
"00:02:04,000","00:02:04,000",دي تمر,Dee pass.,neutral
"00:02:04,000","00:02:05,000",لا دي قهوة عربي,"No, I have Arab coffee.",neutral
"00:02:05,000","00:02:06,000",ايه,Eh.,neutral
"00:02:06,000","00:02:07,000",انا نزل لسحلب,I'm going down to the algae.,neutral
"00:02:07,000","00:02:07,000",سحلب؟,A zipper?,neutral
"00:02:07,000","00:02:08,000",فاش رايك تاخديها وانا اخد القهوة العربية,Loser thinks you'll take it while I'm taking some Arab coffee.,anger
"00:02:08,000","00:02:09,000",ما عنديش مشكلة,He doesn't have a problem.,neutral
"00:02:09,000","00:02:11,000",عشان كده كده مفيش تمر فايه,"When that's it, you can't pass the Fae.",neutral
"00:02:11,000","00:02:12,000",خد انت الاول,Here you go first.,neutral
"00:02:13,000","00:02:14,000",ايوة,Yeah.,neutral
"00:02:14,000","00:02:16,000",كيف قهوة خضرة خليتيها؟,How's her veggie coffee?,neutral
"00:02:16,000","00:02:17,000",هي اسمها قهوة خضرة والله,It's called green coffee. God.,neutral
"00:02:17,000","00:02:17,000",فضل,Here you go.,neutral
