Start Time,End Time,Sentence
"00:00:00,000","00:00:01,000",عشان تعرف إن أنا أتنازل عند أشياء عادي
"00:00:01,000","00:00:03,000",هذا الموضوع حمشي أسوي نفسي بأسمي
"00:00:03,000","00:00:05,000",ليه ما تسمع وترد عليك زي ما تتكلمت
"00:00:05,000","00:00:07,000",لأنه كلام متخابط ومتلخبط
"00:00:07,000","00:00:08,000",مين اللي متلخبط؟
"00:00:08,000","00:00:09,000",إنتي دحين السينما حطيح بدونك؟
"00:00:09,000","00:00:11,000",أيوة حطيح بدوني
"00:00:11,000","00:00:13,000",ده The Blind Date Show
"00:00:13,000","00:00:14,000",ودول اتنين ما يعرفوش بعض
"00:00:22,000","00:00:24,000",كل واحد فيهم مش شايف التاني
"00:00:24,000","00:00:25,000",وبينهم الحيطة دي
"00:00:25,000","00:00:28,000",البلاين ديت بتاعنا عبارة عن 3 راونز
"00:00:28,000","00:00:31,000",كل راونز بينزل لهم موضوع لازم يتكلموا فيه
"00:00:31,000","00:00:32,000",المواضيع دي علاقة بالجواز
"00:00:32,000","00:00:33,000",لبس
"00:00:33,000","00:00:34,000",فلوس
"00:00:34,000","00:00:34,000",شغل
"00:00:34,000","00:00:36,000",وحاجات تانية كتير
"00:00:36,000","00:00:37,000",بعد كل راونز
"00:00:37,000","00:00:38,000",كل واحد بيدي التاني ريتينج
"00:00:38,000","00:00:41,000",على حسب هم شبه بعض قد إيه في الراونز دي
"00:00:41,000","00:00:42,000",وفي الآخر قبل ما كل واحد يعرف
"00:00:42,000","00:00:44,000",كان قاعد في ديت مع مين
"00:00:44,000","00:00:46,000",هيقرروا لو هينزلوا ديت تاني ولا لا
"00:00:58,000","00:00:59,000",شكراً
"00:01:13,000","00:01:13,000",هاي
"00:01:13,000","00:01:14,000",أهلاً
"00:01:15,000","00:01:16,000",كيف حالك؟
"00:01:16,000","00:01:17,000",أوه
"00:01:18,000","00:01:20,000",الحمد لله والله أنت عاملين
"00:01:20,000","00:01:21,000",الحمد لله
"00:01:21,000","00:01:23,000",حسيت بالـ أوه هذي هتيجي من أول
"00:01:23,000","00:01:24,000",عشان كده ساكت
"00:01:24,000","00:01:25,000",أنت سعودي؟
"00:01:25,000","00:01:25,000",لا
"00:01:25,000","00:01:27,000",أنا المفروض سعيدي بس عايش في سعودية من زمان
"00:01:28,000","00:01:28,000",سعيدي؟
"00:01:28,000","00:01:29,000",من لقصر
"00:01:30,000","00:01:30,000",حل
"00:01:31,000","00:01:32,000",لا بمزع طبعاً
"00:01:33,000","00:01:34,000",سعودي سعودي
"00:01:34,000","00:01:35,000",تعرفي جيت سعودية قبل كده؟
"00:01:35,000","00:01:36,000",أوه جيت
"00:01:36,000","00:01:37,000",فين رحت؟
"00:01:37,000","00:01:39,000",رحت مكة ورحت المدينة
"00:01:39,000","00:01:40,000",ما رحت جدة؟
"00:01:40,000","00:01:40,000",لا ما رحتش قبل
"00:01:40,000","00:01:42,000",كيف جيتي مكة بدون ما تروحي جدة؟
"00:01:42,000","00:01:43,000",ما كنت بعمل عمره
"00:01:43,000","00:01:46,000",طيب جيتي على جدة بعدين رحت مكة بالسيارة
"00:01:46,000","00:01:47,000",لا ما جيتش
"00:01:47,000","00:01:49,000",المطار اللي نزلك على جدة
"00:01:49,000","00:01:50,000",هيوديكي بعدين
"00:01:50,000","00:01:51,000",انت مريت بجدة كلها
"00:01:51,000","00:01:52,000",بعدين وصلت مكة
"00:01:52,000","00:01:53,000",ما نمكنش عارف بقى
"00:01:53,000","00:01:54,000",ما في مطار في مكة
"00:01:54,000","00:01:55,000",أوكي
"00:01:55,000","00:01:56,000",انت ايش اللي نزلك؟
"00:01:56,000","00:01:58,000",تقريباً دي قهوة عربي
"00:01:58,000","00:02:00,000",اللي هي اسمها قهوة خضرة تقريباً
"00:02:00,000","00:02:00,000",ولا ده ايه؟
"00:02:00,000","00:02:01,000",قهوة خضرة؟
"00:02:01,000","00:02:02,000",اشوف كده؟
"00:02:02,000","00:02:04,000",اللي هي تقريباً بتتاخد مع بلح
"00:02:04,000","00:02:04,000",دي تمر
"00:02:04,000","00:02:05,000",لا دي قهوة عربي
"00:02:05,000","00:02:06,000",ايه
"00:02:06,000","00:02:07,000",انا نزل لسحلب
"00:02:07,000","00:02:07,000",سحلب؟
"00:02:07,000","00:02:08,000",فاش رايك تاخديها وانا اخد القهوة العربية
"00:02:08,000","00:02:09,000",ما عنديش مشكلة
"00:02:09,000","00:02:11,000",عشان كده كده مفيش تمر فايه
"00:02:11,000","00:02:12,000",خد انت الاول
"00:02:13,000","00:02:14,000",ايوة
"00:02:14,000","00:02:16,000",كيف قهوة خضرة خليتيها؟
"00:02:16,000","00:02:17,000",هي اسمها قهوة خضرة والله
"00:02:17,000","00:02:17,000",فضل
"00:02:19,000","00:02:20,000",شكراً مرسي
"00:02:21,000","00:02:22,000",طب هسألك سؤال
"00:02:22,000","00:02:23,000",بتنزل ديتز كتير؟
"00:02:23,000","00:02:25,000",يعني اتعرف على ناس
"00:02:25,000","00:02:26,000",بس ما انزل ديتز يعني وكده
"00:02:26,000","00:02:26,000",ماشي
"00:02:26,000","00:02:27,000",وانتي؟
"00:02:27,000","00:02:29,000",لا مش بنزل ديتز كتير
"00:02:29,000","00:02:29,000",مرة؟
"00:02:29,000","00:02:30,000",نعم
"00:02:30,000","00:02:31,000",تماماً يعني ما بتنزل ديتز؟
"00:02:31,000","00:02:32,000",لا لا كنت بنزل
"00:02:32,000","00:02:34,000",بس ما بقيتش بنزل ديتز كتير
"00:02:34,000","00:02:34,000",اوكي
"00:02:34,000","00:02:35,000",انت درست ايش باي ذوي؟
"00:02:35,000","00:02:37,000",درست اعلام وترجمة
"00:02:41,000","00:02:42,000",أشتغل دكتور سنين
"00:02:42,000","00:02:44,000",ولا بشتغل حاجة تانية غير
"00:02:44,000","00:02:45,000",الثنين
"00:02:45,000","00:02:46,000",اشتغل اشياء برا طب الأسنان
"00:02:46,000","00:02:48,000",وبشتغل اشياء كوان في الأسنان
"00:02:48,000","00:02:49,000",ايه الحاجات اللي بتشغلها
"00:02:49,000","00:02:50,000",برا طب الأسنين؟
"00:02:50,000","00:02:51,000",عندي كدة كدة براند
"00:02:51,000","00:02:51,000",هدوم؟
"00:02:51,000","00:02:52,000",مو هدوم
"00:02:52,000","00:02:53,000",عطور
"00:02:53,000","00:02:54,000",عندي مطعم
"00:02:54,000","00:02:55,000",عندي كوفي شوپ
"00:02:55,000","00:02:55,000",زى كدة
"00:02:55,000","00:02:57,000",طيب والعطور بتعمل
"00:02:57,000","00:02:58,000",العطور الليالي العربي
"00:02:58,000","00:03:00,000",الليالي العود والميسك
"00:03:00,000","00:03:01,000",ولا لا لا
